user_input,mood_type,book
I feel broken recently,emotionally,Emotional Intelligence by Daniel Goleman
I feel broken lately,mentally,Atomic Habits by James Clear
I feel broken today,emotionally,Healing the Shame That Binds You by John Bradshaw
I feel broken right now,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I feel broken,emotionally,Healing the Shame That Binds You by John Bradshaw
I feel broken recently,emotionally,Healing the Shame That Binds You by John Bradshaw
I feel broken right now,spiritually,Reclaim Your Heart by Yasmin Mogahed
I feel broken.,spiritually,The Power of Now by Eckhart Tolle
I feel broken.,mentally,Atomic Habits by James Clear
I feel broken recently,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I feel broken.,spiritually,Reclaim Your Heart by Yasmin Mogahed
I feel broken today,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I feel broken today,spiritually,The Power of Now by Eckhart Tolle
I feel broken lately,emotionally,Healing the Shame That Binds You by John Bradshaw
I feel broken right now,mentally,Atomic Habits by James Clear
I feel broken,spiritually,The Power of Now by Eckhart Tolle
I feel broken lately,spiritually,Reclaim Your Heart by Yasmin Mogahed
I feel broken recently,spiritually,Reclaim Your Heart by Yasmin Mogahed
I feel broken recently,spiritually,Reclaim Your Heart by Yasmin Mogahed
I feel broken today,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I feel broken right now,mentally,Atomic Habits by James Clear
I feel broken lately,spiritually,The Power of Now by Eckhart Tolle
I feel broken today,spiritually,The Power of Now by Eckhart Tolle
I'm worried about money,financially,Rich Dad Poor Dad by Robert Kiyosaki
I'm worried about money.,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money lately,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money right now,financially,Rich Dad Poor Dad by Robert Kiyosaki
I'm worried about money.,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money lately,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money,financially,Rich Dad Poor Dad by Robert Kiyosaki
I'm worried about money lately,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money recently,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money recently,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money today,financially,Rich Dad Poor Dad by Robert Kiyosaki
I'm worried about money today,financially,Rich Dad Poor Dad by Robert Kiyosaki
I'm worried about money,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money lately,financially,Rich Dad Poor Dad by Robert Kiyosaki
I'm worried about money,financially,Rich Dad Poor Dad by Robert Kiyosaki
I'm worried about money recently,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money today,financially,Rich Dad Poor Dad by Robert Kiyosaki
I'm worried about money recently,financially,Rich Dad Poor Dad by Robert Kiyosaki
I'm worried about money lately,financially,Rich Dad Poor Dad by Robert Kiyosaki
I'm worried about money recently,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money lately,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money lately,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money recently,financially,Rich Dad Poor Dad by Robert Kiyosaki
I'm worried about money right now,financially,Rich Dad Poor Dad by Robert Kiyosaki
I'm worried about money.,financially,Rich Dad Poor Dad by Robert Kiyosaki
I'm worried about money today,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money recently,financially,Rich Dad Poor Dad by Robert Kiyosaki
I'm worried about money lately,financially,Rich Dad Poor Dad by Robert Kiyosaki
I'm worried about money today,financially,Rich Dad Poor Dad by Robert Kiyosaki
I'm worried about money recently,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money lately,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money.,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money today,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money recently,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money lately,financially,Rich Dad Poor Dad by Robert Kiyosaki
I'm worried about money lately,financially,Rich Dad Poor Dad by Robert Kiyosaki
I'm worried about money.,financially,Rich Dad Poor Dad by Robert Kiyosaki
I'm worried about money right now,financially,Rich Dad Poor Dad by Robert Kiyosaki
I'm worried about money recently,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money right now,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money right now,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money recently,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money recently,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money today,financially,Rich Dad Poor Dad by Robert Kiyosaki
I'm worried about money.,financially,Rich Dad Poor Dad by Robert Kiyosaki
I'm worried about money today,financially,Rich Dad Poor Dad by Robert Kiyosaki
I'm worried about money lately,financially,Rich Dad Poor Dad by Robert Kiyosaki
I'm worried about money,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money.,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money,financially,Rich Dad Poor Dad by Robert Kiyosaki
I'm worried about money,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money right now,financially,Rich Dad Poor Dad by Robert Kiyosaki
I'm worried about money recently,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money right now,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money,financially,Rich Dad Poor Dad by Robert Kiyosaki
I'm worried about money.,financially,Rich Dad Poor Dad by Robert Kiyosaki
I'm worried about money today,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money right now,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money right now,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money lately,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money recently,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money recently,financially,Rich Dad Poor Dad by Robert Kiyosaki
I'm worried about money right now,financially,Rich Dad Poor Dad by Robert Kiyosaki
I'm worried about money,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money recently,financially,Rich Dad Poor Dad by Robert Kiyosaki
I'm worried about money lately,financially,Rich Dad Poor Dad by Robert Kiyosaki
I'm worried about money today,financially,Rich Dad Poor Dad by Robert Kiyosaki
I'm worried about money.,financially,Rich Dad Poor Dad by Robert Kiyosaki
I'm worried about money lately,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money recently,financially,Rich Dad Poor Dad by Robert Kiyosaki
I'm worried about money right now,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money recently,financially,Rich Dad Poor Dad by Robert Kiyosaki
I'm worried about money.,financially,Rich Dad Poor Dad by Robert Kiyosaki
I'm worried about money right now,financially,Rich Dad Poor Dad by Robert Kiyosaki
I'm worried about money recently,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money recently,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money lately,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money right now,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money.,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money.,financially,Rich Dad Poor Dad by Robert Kiyosaki
I'm worried about money.,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money lately,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money today,financially,Rich Dad Poor Dad by Robert Kiyosaki
I'm worried about money.,financially,Rich Dad Poor Dad by Robert Kiyosaki
I'm worried about money right now,financially,Rich Dad Poor Dad by Robert Kiyosaki
I'm worried about money right now,financially,Rich Dad Poor Dad by Robert Kiyosaki
I'm worried about money lately,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money today,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money today,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money lately,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money today,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money lately,financially,Rich Dad Poor Dad by Robert Kiyosaki
I'm worried about money,financially,Rich Dad Poor Dad by Robert Kiyosaki
I'm worried about money.,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money right now,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money recently,financially,The Total Money Makeover by Dave Ramsey
I'm worried about money,financially,Rich Dad Poor Dad by Robert Kiyosaki
I feel disconnected today,socially,How to Win Friends and Influence People by Dale Carnegie
I feel disconnected recently,socially,The Art of Gathering by Priya Parker
I feel disconnected.,spiritually,Reclaim Your Heart by Yasmin Mogahed
I feel disconnected recently,spiritually,The Power of Now by Eckhart Tolle
I feel disconnected.,spiritually,The Power of Now by Eckhart Tolle
I feel disconnected.,spiritually,Reclaim Your Heart by Yasmin Mogahed
I feel disconnected recently,socially,The Art of Gathering by Priya Parker
I feel disconnected right now,spiritually,The Power of Now by Eckhart Tolle
I feel disconnected,socially,How to Win Friends and Influence People by Dale Carnegie
I feel disconnected,socially,How to Win Friends and Influence People by Dale Carnegie
I feel disconnected,socially,The Art of Gathering by Priya Parker
I feel disconnected.,socially,How to Win Friends and Influence People by Dale Carnegie
I feel disconnected today,socially,How to Win Friends and Influence People by Dale Carnegie
I feel disconnected lately,spiritually,The Power of Now by Eckhart Tolle
I feel disconnected,socially,How to Win Friends and Influence People by Dale Carnegie
I feel disconnected recently,socially,How to Win Friends and Influence People by Dale Carnegie
I feel disconnected,socially,How to Win Friends and Influence People by Dale Carnegie
I feel disconnected today,spiritually,The Power of Now by Eckhart Tolle
I feel disconnected recently,socially,How to Win Friends and Influence People by Dale Carnegie
I feel disconnected.,spiritually,The Power of Now by Eckhart Tolle
I feel disconnected right now,spiritually,Reclaim Your Heart by Yasmin Mogahed
I feel disconnected lately,socially,How to Win Friends and Influence People by Dale Carnegie
I feel disconnected,socially,How to Win Friends and Influence People by Dale Carnegie
I feel disconnected,spiritually,The Power of Now by Eckhart Tolle
I feel disconnected.,socially,The Art of Gathering by Priya Parker
I feel disconnected today,socially,The Art of Gathering by Priya Parker
I feel disconnected recently,spiritually,The Power of Now by Eckhart Tolle
I feel disconnected today,spiritually,The Power of Now by Eckhart Tolle
I feel disconnected recently,socially,How to Win Friends and Influence People by Dale Carnegie
I feel disconnected.,socially,How to Win Friends and Influence People by Dale Carnegie
I feel disconnected recently,socially,The Art of Gathering by Priya Parker
I feel disconnected lately,spiritually,The Power of Now by Eckhart Tolle
I feel disconnected.,spiritually,Reclaim Your Heart by Yasmin Mogahed
I feel disconnected,socially,The Art of Gathering by Priya Parker
I feel disconnected recently,socially,The Art of Gathering by Priya Parker
I feel disconnected today,spiritually,Reclaim Your Heart by Yasmin Mogahed
I feel disconnected today,socially,The Art of Gathering by Priya Parker
I feel disconnected.,socially,How to Win Friends and Influence People by Dale Carnegie
I feel disconnected today,socially,The Art of Gathering by Priya Parker
I feel disconnected today,spiritually,Reclaim Your Heart by Yasmin Mogahed
I feel disconnected.,spiritually,Reclaim Your Heart by Yasmin Mogahed
I feel disconnected lately,spiritually,The Power of Now by Eckhart Tolle
I feel disconnected,socially,The Art of Gathering by Priya Parker
I feel disconnected lately,spiritually,The Power of Now by Eckhart Tolle
I feel disconnected recently,spiritually,The Power of Now by Eckhart Tolle
I feel disconnected lately,socially,How to Win Friends and Influence People by Dale Carnegie
I feel disconnected today,socially,The Art of Gathering by Priya Parker
I feel disconnected lately,spiritually,Reclaim Your Heart by Yasmin Mogahed
I feel disconnected today,spiritually,The Power of Now by Eckhart Tolle
I feel disconnected recently,socially,How to Win Friends and Influence People by Dale Carnegie
I feel disconnected today,socially,How to Win Friends and Influence People by Dale Carnegie
I feel disconnected right now,spiritually,The Power of Now by Eckhart Tolle
I feel disconnected recently,socially,The Art of Gathering by Priya Parker
I feel disconnected lately,socially,The Art of Gathering by Priya Parker
I feel disconnected,socially,The Art of Gathering by Priya Parker
I feel disconnected recently,spiritually,Reclaim Your Heart by Yasmin Mogahed
I feel disconnected recently,socially,How to Win Friends and Influence People by Dale Carnegie
I feel disconnected.,spiritually,Reclaim Your Heart by Yasmin Mogahed
I feel disconnected.,socially,How to Win Friends and Influence People by Dale Carnegie
I feel disconnected today,socially,How to Win Friends and Influence People by Dale Carnegie
I feel disconnected recently,socially,The Art of Gathering by Priya Parker
I feel disconnected recently,spiritually,The Power of Now by Eckhart Tolle
I feel disconnected lately,spiritually,Reclaim Your Heart by Yasmin Mogahed
I feel disconnected,spiritually,The Power of Now by Eckhart Tolle
I feel disconnected.,spiritually,The Power of Now by Eckhart Tolle
I feel disconnected today,socially,How to Win Friends and Influence People by Dale Carnegie
I feel disconnected right now,spiritually,The Power of Now by Eckhart Tolle
I feel disconnected right now,spiritually,The Power of Now by Eckhart Tolle
I feel disconnected today,socially,How to Win Friends and Influence People by Dale Carnegie
I feel disconnected recently,socially,How to Win Friends and Influence People by Dale Carnegie
I feel disconnected recently,socially,The Art of Gathering by Priya Parker
I feel disconnected today,spiritually,The Power of Now by Eckhart Tolle
I feel disconnected right now,socially,The Art of Gathering by Priya Parker
I feel disconnected,socially,How to Win Friends and Influence People by Dale Carnegie
I feel disconnected,spiritually,The Power of Now by Eckhart Tolle
I feel disconnected,spiritually,The Power of Now by Eckhart Tolle
I feel disconnected,spiritually,Reclaim Your Heart by Yasmin Mogahed
I feel disconnected,socially,The Art of Gathering by Priya Parker
I feel disconnected right now,socially,How to Win Friends and Influence People by Dale Carnegie
I feel disconnected today,socially,The Art of Gathering by Priya Parker
I feel disconnected right now,spiritually,The Power of Now by Eckhart Tolle
I feel disconnected today,spiritually,Reclaim Your Heart by Yasmin Mogahed
I feel disconnected today,spiritually,The Power of Now by Eckhart Tolle
I feel disconnected right now,socially,The Art of Gathering by Priya Parker
I feel disconnected right now,socially,The Art of Gathering by Priya Parker
I feel disconnected recently,spiritually,The Power of Now by Eckhart Tolle
I feel disconnected today,socially,The Art of Gathering by Priya Parker
I feel disconnected lately,spiritually,Reclaim Your Heart by Yasmin Mogahed
I feel disconnected recently,spiritually,Reclaim Your Heart by Yasmin Mogahed
I feel disconnected recently,socially,How to Win Friends and Influence People by Dale Carnegie
I feel disconnected recently,socially,The Art of Gathering by Priya Parker
I feel disconnected lately,spiritually,Reclaim Your Heart by Yasmin Mogahed
I feel disconnected today,socially,The Art of Gathering by Priya Parker
I feel disconnected right now,spiritually,The Power of Now by Eckhart Tolle
I feel disconnected,socially,How to Win Friends and Influence People by Dale Carnegie
I feel disconnected.,spiritually,Reclaim Your Heart by Yasmin Mogahed
I feel disconnected.,spiritually,Reclaim Your Heart by Yasmin Mogahed
I feel disconnected.,socially,The Art of Gathering by Priya Parker
I feel disconnected right now,socially,The Art of Gathering by Priya Parker
I feel disconnected,spiritually,Reclaim Your Heart by Yasmin Mogahed
I lack motivation.,emotionally,Healing the Shame That Binds You by John Bradshaw
I lack motivation recently,emotionally,Emotional Intelligence by Daniel Goleman
I lack motivation right now,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I lack motivation,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I lack motivation right now,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I lack motivation today,mentally,Atomic Habits by James Clear
I lack motivation,mentally,Atomic Habits by James Clear
I lack motivation recently,mentally,Atomic Habits by James Clear
I lack motivation lately,emotionally,Healing the Shame That Binds You by John Bradshaw
I lack motivation today,emotionally,Healing the Shame That Binds You by John Bradshaw
I lack motivation today,emotionally,Healing the Shame That Binds You by John Bradshaw
I lack motivation lately,mentally,Atomic Habits by James Clear
I lack motivation recently,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I lack motivation today,emotionally,Emotional Intelligence by Daniel Goleman
I lack motivation today,emotionally,Healing the Shame That Binds You by John Bradshaw
I lack motivation right now,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I lack motivation right now,emotionally,Emotional Intelligence by Daniel Goleman
I lack motivation recently,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I lack motivation,emotionally,Healing the Shame That Binds You by John Bradshaw
I lack motivation,mentally,Atomic Habits by James Clear
I lack motivation right now,emotionally,Emotional Intelligence by Daniel Goleman
I lack motivation,mentally,Atomic Habits by James Clear
I lack motivation recently,mentally,Atomic Habits by James Clear
I lack motivation today,mentally,Atomic Habits by James Clear
I lack motivation,mentally,Atomic Habits by James Clear
I lack motivation,emotionally,Healing the Shame That Binds You by John Bradshaw
I lack motivation lately,emotionally,Healing the Shame That Binds You by John Bradshaw
I lack motivation today,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I lack motivation today,mentally,Atomic Habits by James Clear
I lack motivation lately,mentally,Atomic Habits by James Clear
I lack motivation right now,mentally,Atomic Habits by James Clear
I lack motivation recently,emotionally,Healing the Shame That Binds You by John Bradshaw
I lack motivation recently,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I lack motivation.,emotionally,Healing the Shame That Binds You by John Bradshaw
I lack motivation,emotionally,Emotional Intelligence by Daniel Goleman
I lack motivation,emotionally,Emotional Intelligence by Daniel Goleman
I lack motivation recently,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I lack motivation today,mentally,Atomic Habits by James Clear
I lack motivation,emotionally,Emotional Intelligence by Daniel Goleman
I lack motivation recently,emotionally,Healing the Shame That Binds You by John Bradshaw
I lack motivation lately,mentally,Atomic Habits by James Clear
I lack motivation,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I lack motivation.,emotionally,Healing the Shame That Binds You by John Bradshaw
I lack motivation recently,emotionally,Emotional Intelligence by Daniel Goleman
I lack motivation right now,emotionally,Healing the Shame That Binds You by John Bradshaw
I lack motivation recently,mentally,Atomic Habits by James Clear
I lack motivation,emotionally,Healing the Shame That Binds You by John Bradshaw
I lack motivation.,emotionally,Emotional Intelligence by Daniel Goleman
I lack motivation lately,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I lack motivation right now,mentally,Atomic Habits by James Clear
I lack motivation lately,emotionally,Healing the Shame That Binds You by John Bradshaw
I lack motivation.,mentally,Atomic Habits by James Clear
I lack motivation today,mentally,Atomic Habits by James Clear
I lack motivation recently,emotionally,Healing the Shame That Binds You by John Bradshaw
I lack motivation,mentally,Atomic Habits by James Clear
I lack motivation recently,emotionally,Healing the Shame That Binds You by John Bradshaw
I lack motivation right now,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I lack motivation today,emotionally,Emotional Intelligence by Daniel Goleman
I lack motivation lately,mentally,Atomic Habits by James Clear
I lack motivation.,mentally,Atomic Habits by James Clear
I lack motivation recently,mentally,Atomic Habits by James Clear
I lack motivation lately,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I lack motivation lately,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I lack motivation,emotionally,Healing the Shame That Binds You by John Bradshaw
I lack motivation lately,emotionally,Emotional Intelligence by Daniel Goleman
I lack motivation today,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I lack motivation lately,emotionally,Healing the Shame That Binds You by John Bradshaw
I lack motivation,emotionally,Healing the Shame That Binds You by John Bradshaw
I lack motivation lately,emotionally,Healing the Shame That Binds You by John Bradshaw
I lack motivation.,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I lack motivation.,emotionally,Emotional Intelligence by Daniel Goleman
I lack motivation today,emotionally,Emotional Intelligence by Daniel Goleman
I lack motivation today,emotionally,Healing the Shame That Binds You by John Bradshaw
I lack motivation today,emotionally,Emotional Intelligence by Daniel Goleman
I lack motivation.,mentally,Atomic Habits by James Clear
I lack motivation lately,emotionally,Healing the Shame That Binds You by John Bradshaw
I lack motivation recently,emotionally,Emotional Intelligence by Daniel Goleman
I lack motivation right now,mentally,Atomic Habits by James Clear
I lack motivation right now,emotionally,Healing the Shame That Binds You by John Bradshaw
I lack motivation right now,emotionally,Emotional Intelligence by Daniel Goleman
I lack motivation,emotionally,Healing the Shame That Binds You by John Bradshaw
I lack motivation,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I lack motivation recently,mentally,Atomic Habits by James Clear
I lack motivation,mentally,Atomic Habits by James Clear
I lack motivation lately,emotionally,Emotional Intelligence by Daniel Goleman
I lack motivation right now,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I lack motivation today,mentally,Atomic Habits by James Clear
I lack motivation today,emotionally,Healing the Shame That Binds You by John Bradshaw
I lack motivation right now,mentally,Atomic Habits by James Clear
I lack motivation.,emotionally,Healing the Shame That Binds You by John Bradshaw
I lack motivation recently,emotionally,Healing the Shame That Binds You by John Bradshaw
I lack motivation today,mentally,Atomic Habits by James Clear
I lack motivation lately,emotionally,Emotional Intelligence by Daniel Goleman
I lack motivation recently,emotionally,Healing the Shame That Binds You by John Bradshaw
I lack motivation,emotionally,Emotional Intelligence by Daniel Goleman
I lack motivation lately,emotionally,Emotional Intelligence by Daniel Goleman
I lack motivation.,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I lack motivation today,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I lack motivation today,mentally,Atomic Habits by James Clear
I lack motivation,mentally,Atomic Habits by James Clear
